Sort Algorithm, Generator, Array Size, Comparisons, Time
selectionSort, random, 100000, 4999950000, 49.073000
selectionSort, orderedBackwards, 100000, 4999950000, 51.561000
insertionSort, random, 100000, 2390452629, 29.001000
insertionSort, orderedBackwards, 100000, 4999950000, 60.484000
bubbleSort, random, 100000, 2408878597, 77.049000
bubbleSort, orderedBackwards, 100000, 4999950000, 102.801000
combSort, random, 100000, 199062, 0.037000
combSort, orderedBackwards, 100000, 244174, 0.036000
shellSort, random, 100000, 618274, 0.032000
shellSort, orderedBackwards, 100000, 844560, 0.031000
radixSortPositive, random, 100000, 0, 0.016000
radixSortPositive, orderedBackwards, 100000, 0, 0.015000
